id,contract_name,source,auto_label,vuln_types,predicted_verdict,predicted_label,match,predicted_vuln_types,type_overlap,expected_severity,final_findings,mode,timestamp
eth-001,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.000748
eth-002,spok,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.005168
eth-003,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.018140
eth-004,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.030975
eth-005,AgeOfWarLeaderboard,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.030975
eth-006,Token,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.039562
eth-007,Contract,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.047607
eth-008,LeAnime_Encoding_Traits,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.052077
eth-009,TokenSPOKJ8HDLR9T7T,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.060705
eth-010,setting,etherscan,vulnerable,tx_origin_auth,NO-GO,vulnerable,True,tx_origin_auth,tx_origin_auth,MEDIUM,1,static_only,2026-04-22T08:46:09.082017
eth-011,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.098777
eth-012,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.120360
eth-013,spender,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.122329
eth-014,interfaces,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.170294
eth-015,FLASHUSDTContract,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.174201
eth-016,FlashUSDTLiquidityBot,etherscan,vulnerable,unprotected_withdraw,NO-GO,vulnerable,True,unprotected_withdraw,unprotected_withdraw,HIGH,1,static_only,2026-04-22T08:46:09.191037
eth-017,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.247595
eth-018,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.285106
eth-019,ERC20Rescuer,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.290678
eth-020,PredictionWager,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.291939
eth-021,setting,etherscan,vulnerable,tx_origin_auth,NO-GO,vulnerable,True,tx_origin_auth,tx_origin_auth,MEDIUM,1,static_only,2026-04-22T08:46:09.303117
eth-022,MyToken,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.306363
eth-023,melon,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.307368
eth-024,DevToken,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.315222
eth-025,interfaces,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.323549
eth-026,BITE0BNK_Absolute,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.323549
eth-027,USDT,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.325863
eth-028,LeAnime_Encoding_Converter,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.328070
eth-029,REMILIO,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.332230
eth-030,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.339595
eth-031,interfaces,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.374339
eth-032,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.377803
eth-033,wako,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.384092
eth-034,PEJAK,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.387029
eth-035,setting,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.401626
eth-036,FIN,etherscan,vulnerable,tx_origin_auth,NO-GO,vulnerable,True,tx_origin_auth,tx_origin_auth,MEDIUM,1,static_only,2026-04-22T08:46:09.410318
eth-037,Counter,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.410318
eth-038,Groth16Verifier,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.414828
eth-039,Groth16DepositVerifier,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.423263
eth-040,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.431376
eth-041,AlwaysAllowValidator,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.433849
eth-042,setting,etherscan,vulnerable,tx_origin_auth,NO-GO,vulnerable,True,tx_origin_auth,tx_origin_auth,MEDIUM,1,static_only,2026-04-22T08:46:09.444647
eth-043,OPTIPEPE,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.448895
eth-044,PEPE2026,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.454187
eth-045,lets_play,etherscan,vulnerable,tx_origin_auth,NO-GO,vulnerable,True,tx_origin_auth,tx_origin_auth,MEDIUM,1,static_only,2026-04-22T08:46:09.456006
eth-046,custodian_Bank,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.456780
eth-047,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.464615
eth-048,using,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.468177
eth-049,KEK,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.476566
eth-050,interfaces,etherscan,likely_safe,,GO,likely_safe,True,,,,0,static_only,2026-04-22T08:46:09.505815
